time,temperature,humidity
Sat Jun 21 08:36:35 CEST 2014,20.4,57.6
Sat Jun 21 08:37:35 CEST 2014,20.4,57.6
Sat Jun 21 08:38:35 CEST 2014,20.4,57.6
Sat Jun 21 08:39:35 CEST 2014,20.4,57.6
Sat Jun 21 08:40:35 CEST 2014,20.4,57.6
Sat Jun 21 08:41:35 CEST 2014,20.4,57.6
Sat Jun 21 08:42:35 CEST 2014,20.4,57.6
Sat Jun 21 08:43:35 CEST 2014,20.4,57.6
Sat Jun 21 08:44:35 CEST 2014,20.4,57.6
Sat Jun 21 08:45:35 CEST 2014,20.4,57.6
Sat Jun 21 08:46:35 CEST 2014,20.4,57.6
Sat Jun 21 08:47:35 CEST 2014,20.4,57.6
Sat Jun 21 08:48:35 CEST 2014,20.4,57.6
Sat Jun 21 08:49:35 CEST 2014,20.4,57.6
Sat Jun 21 08:50:35 CEST 2014,20.4,57.6
Sat Jun 21 08:51:35 CEST 2014,20.4,57.6
Sat Jun 21 08:52:35 CEST 2014,20.4,57.6
Sat Jun 21 08:53:35 CEST 2014,20.4,57.6
Sat Jun 21 08:54:35 CEST 2014,20.4,57.6
Sat Jun 21 08:55:35 CEST 2014,20.4,57.6
Sat Jun 21 08:56:35 CEST 2014,20.4,57.6
Sat Jun 21 08:57:35 CEST 2014,20.4,57.6
Sat Jun 21 08:58:35 CEST 2014,20.4,57.6
Sat Jun 21 08:59:36 CEST 2014,20.4,57.6
Sat Jun 21 09:00:36 CEST 2014,20.4,57.6
Sat Jun 21 09:01:36 CEST 2014,20.4,57.6
Sat Jun 21 09:02:36 CEST 2014,20.4,57.6
Sat Jun 21 09:03:36 CEST 2014,20.4,57.6
Sat Jun 21 09:04:36 CEST 2014,20.4,57.6
Sat Jun 21 09:05:36 CEST 2014,20.4,57.6
Sat Jun 21 09:06:36 CEST 2014,20.4,57.6
Sat Jun 21 09:07:36 CEST 2014,20.4,57.6
Sat Jun 21 09:08:36 CEST 2014,20.4,57.6
Sat Jun 21 09:09:36 CEST 2014,20.4,57.6
Sat Jun 21 09:10:36 CEST 2014,20.4,57.6
Sat Jun 21 09:11:36 CEST 2014,20.4,57.6
Sat Jun 21 09:12:36 CEST 2014,20.4,57.6
Sat Jun 21 09:13:36 CEST 2014,20.4,57.6
Sat Jun 21 09:14:36 CEST 2014,20.4,57.6
Sat Jun 21 09:15:36 CEST 2014,20.4,57.6
Sat Jun 21 09:16:36 CEST 2014,20.4,57.6
Sat Jun 21 09:17:36 CEST 2014,20.4,57.6
Sat Jun 21 09:18:36 CEST 2014,20.4,57.6
Sat Jun 21 09:19:36 CEST 2014,20.4,57.6
Sat Jun 21 09:20:36 CEST 2014,20.4,57.6
Sat Jun 21 09:21:36 CEST 2014,20.4,57.6
Sat Jun 21 09:22:36 CEST 2014,20.4,57.6
Sat Jun 21 09:23:36 CEST 2014,20.4,57.6
Sat Jun 21 09:24:36 CEST 2014,20.4,57.6
Sat Jun 21 09:25:36 CEST 2014,20.4,57.6
Sat Jun 21 09:26:36 CEST 2014,20.4,57.6
Sat Jun 21 09:27:36 CEST 2014,20.4,57.6
Sat Jun 21 09:28:36 CEST 2014,20.4,57.6
Sat Jun 21 09:29:36 CEST 2014,20.4,57.6
Sat Jun 21 09:30:36 CEST 2014,20.4,57.6
Sat Jun 21 09:31:36 CEST 2014,20.4,57.6
Sat Jun 21 09:32:36 CEST 2014,20.4,57.6
Sat Jun 21 09:33:36 CEST 2014,20.4,57.6
Sat Jun 21 09:34:36 CEST 2014,20.4,57.6
Sat Jun 21 09:35:36 CEST 2014,20.4,57.6
Sat Jun 21 09:36:37 CEST 2014,20.4,57.6
Sat Jun 21 09:37:37 CEST 2014,20.4,57.6
Sat Jun 21 09:38:37 CEST 2014,20.4,57.6
Sat Jun 21 09:39:37 CEST 2014,20.4,57.6
Sat Jun 21 09:40:37 CEST 2014,20.4,57.6
Sat Jun 21 09:41:37 CEST 2014,20.4,57.6
Sat Jun 21 09:42:37 CEST 2014,20.4,57.6
Sat Jun 21 09:43:37 CEST 2014,20.4,57.6
Sat Jun 21 09:44:37 CEST 2014,20.4,57.6
Sat Jun 21 09:45:37 CEST 2014,20.4,57.6
Sat Jun 21 09:46:37 CEST 2014,20.4,57.6
Sat Jun 21 09:47:37 CEST 2014,20.4,57.6
Sat Jun 21 09:48:37 CEST 2014,20.4,57.6
Sat Jun 21 09:49:37 CEST 2014,20.4,57.6
Sat Jun 21 09:50:37 CEST 2014,20.4,57.6
Sat Jun 21 09:51:37 CEST 2014,20.4,57.6
Sat Jun 21 09:52:37 CEST 2014,20.4,57.6
Sat Jun 21 09:53:37 CEST 2014,20.4,57.6
Sat Jun 21 09:54:37 CEST 2014,20.4,57.6
Sat Jun 21 09:55:37 CEST 2014,20.4,57.6
Sat Jun 21 09:56:37 CEST 2014,20.4,57.6
Sat Jun 21 09:57:37 CEST 2014,20.4,57.6
Sat Jun 21 09:58:37 CEST 2014,20.4,57.6
Sat Jun 21 09:59:37 CEST 2014,20.4,57.6
Sat Jun 21 10:00:37 CEST 2014,20.4,57.6
Sat Jun 21 10:01:37 CEST 2014,20.4,57.6
Sat Jun 21 10:02:37 CEST 2014,20.4,57.6
Sat Jun 21 10:03:37 CEST 2014,20.4,57.6
Sat Jun 21 10:04:37 CEST 2014,20.4,57.6
Sat Jun 21 10:05:37 CEST 2014,20.4,57.6
Sat Jun 21 10:06:37 CEST 2014,20.4,57.6
Sat Jun 21 10:07:37 CEST 2014,20.4,57.6
Sat Jun 21 10:08:37 CEST 2014,20.4,57.6
Sat Jun 21 10:09:37 CEST 2014,20.4,57.6
Sat Jun 21 10:10:37 CEST 2014,20.4,57.6
Sat Jun 21 10:11:37 CEST 2014,20.4,57.6
Sat Jun 21 10:12:37 CEST 2014,20.4,57.6
Sat Jun 21 10:13:38 CEST 2014,20.4,57.6
Sat Jun 21 10:14:38 CEST 2014,20.4,57.6
Sat Jun 21 10:15:38 CEST 2014,20.4,57.6
Sat Jun 21 10:16:38 CEST 2014,20.4,57.6
Sat Jun 21 10:17:38 CEST 2014,20.4,57.6
Sat Jun 21 10:18:38 CEST 2014,20.4,57.6
Sat Jun 21 10:19:38 CEST 2014,20.4,57.6
Sat Jun 21 10:20:38 CEST 2014,20.4,57.6
Sat Jun 21 10:21:38 CEST 2014,20.4,57.6
Sat Jun 21 10:22:38 CEST 2014,20.4,57.6
Sat Jun 21 10:23:38 CEST 2014,20.4,57.6
Sat Jun 21 10:24:38 CEST 2014,20.4,57.6
Sat Jun 21 10:25:38 CEST 2014,20.4,57.6
Sat Jun 21 10:26:38 CEST 2014,20.4,57.6
Sat Jun 21 10:27:38 CEST 2014,20.4,57.6
Sat Jun 21 10:28:38 CEST 2014,20.4,57.6
Sat Jun 21 10:29:38 CEST 2014,20.4,57.6
Sat Jun 21 10:30:38 CEST 2014,20.4,57.6
Sat Jun 21 10:31:38 CEST 2014,20.4,57.6
Sat Jun 21 10:32:38 CEST 2014,20.4,57.6
Sat Jun 21 10:33:38 CEST 2014,20.4,57.6
Sat Jun 21 10:34:38 CEST 2014,20.4,57.6
Sat Jun 21 10:35:38 CEST 2014,20.4,57.6
Sat Jun 21 10:36:38 CEST 2014,20.4,57.6
Sat Jun 21 10:37:38 CEST 2014,20.4,57.6
Sat Jun 21 10:38:38 CEST 2014,20.4,57.6
Sat Jun 21 10:39:38 CEST 2014,20.4,57.6
Sat Jun 21 10:40:38 CEST 2014,20.4,57.6
Sat Jun 21 10:41:38 CEST 2014,20.4,57.6
Sat Jun 21 10:42:38 CEST 2014,20.4,57.6
Sat Jun 21 10:43:38 CEST 2014,20.4,57.6
Sat Jun 21 10:44:38 CEST 2014,20.4,57.6
Sat Jun 21 10:45:38 CEST 2014,20.4,57.6
Sat Jun 21 10:46:38 CEST 2014,20.4,57.6
Sat Jun 21 10:47:38 CEST 2014,20.4,57.6
Sat Jun 21 10:48:38 CEST 2014,20.4,57.6
Sat Jun 21 10:49:39 CEST 2014,20.4,57.6
Sat Jun 21 10:50:39 CEST 2014,20.4,57.6
Sat Jun 21 10:51:39 CEST 2014,20.4,57.6
Sat Jun 21 10:52:39 CEST 2014,20.4,57.6
Sat Jun 21 10:53:39 CEST 2014,20.4,57.6
Sat Jun 21 10:54:39 CEST 2014,20.4,57.6
Sat Jun 21 10:55:39 CEST 2014,20.4,57.6
Sat Jun 21 10:56:39 CEST 2014,20.4,57.6
Sat Jun 21 10:57:39 CEST 2014,20.4,57.6
Sat Jun 21 10:58:39 CEST 2014,20.4,57.6
Sat Jun 21 10:59:39 CEST 2014,20.4,57.6
Sat Jun 21 11:00:39 CEST 2014,20.4,57.6
Sat Jun 21 11:01:39 CEST 2014,20.4,57.6
Sat Jun 21 11:02:39 CEST 2014,20.4,57.6
Sat Jun 21 11:03:39 CEST 2014,20.4,57.6
Sat Jun 21 11:04:39 CEST 2014,20.4,57.6
Sat Jun 21 11:05:39 CEST 2014,20.4,57.6
Sat Jun 21 11:06:39 CEST 2014,20.4,57.6
Sat Jun 21 11:07:39 CEST 2014,20.4,57.6
Sat Jun 21 11:08:39 CEST 2014,20.4,57.6
Sat Jun 21 11:09:39 CEST 2014,20.4,57.6
Sat Jun 21 11:10:39 CEST 2014,20.4,57.6
Sat Jun 21 11:11:39 CEST 2014,20.4,57.6
Sat Jun 21 11:12:39 CEST 2014,20.4,57.6
Sat Jun 21 11:13:39 CEST 2014,20.4,57.6
Sat Jun 21 11:14:39 CEST 2014,20.4,57.6
Sat Jun 21 11:15:39 CEST 2014,20.4,57.6
Sat Jun 21 11:16:39 CEST 2014,20.4,57.6
Sat Jun 21 11:17:39 CEST 2014,20.4,57.6
Sat Jun 21 11:18:39 CEST 2014,20.4,57.6
Sat Jun 21 11:19:39 CEST 2014,20.4,57.6
Sat Jun 21 11:20:39 CEST 2014,20.4,57.6
